FID,HD,PH,PL,TN,GP,SSR,TGW,GL,GW,Y
S250,119,97.9,17.54,9.1,189.4,88.4371700105597,23.93,7.755,3.276,25.5
S251,116,99,18.2,9.1,121.1,94.5499587118084,22.11,7.726,3.085,27
S252,121,96.4,17.49,9.5,166.2,93.1407942238267,23.97,7.174,3.202,29
S253,124,91.9,16.3,10.2,108.3,91.5974145891043,26.83,7.008,3.415,26.25
S254,119,94.9,18.18,8.5,124.6,80.7383627608347,25.3,7.69,2.908,26.75
S255,115,108.4,19.37,9.9,117.8,92.9541595925297,24.68,8.061,3.244,32
S256,118,96.1,16.32,8.9,138.5,81.7328519855596,20.7,7.403,3.215,30.5
S257,124,99.2,16.4444444444444,10.8,118.4,95.2702702702703,24.73,7.409,3.345,26.75
S258,102,89.4,19.3,9.3,137.9,92.7483683828861,28.52,8.377,3.036,27.5
S259,106,96.1,19.99,10.7,168.7,82.3947836395969,21.77,6.874,3.32,29.75
S260,103,93.8,18.98,8.3,122.1,93.1203931203931,22.44,6.419,3.27,27.75
S261,120,94.8,17.9333333333333,6.5,153.5,93.0293159609121,27.88,9.392,2.835,18
S262,116,92.4,19.53,5.7,137.6,90.625,24.3,7.598,3.094,18.25
S263,112,92.5,15.55,8,114.8,89.808362369338,25.79,6.895,3.272,20
S264,111,88.3,16.32,7.9,112.9,91.496899911426,24.14,8.153,2.833,16
S265,111,85.4,16.45,8.9,160,91.6875,26.94,6.96,3.391,22.75
S266,108,92.8,18.82,6.5,104.8,88.6450381679389,27.43,7.498,3.317,17.75
S267,117,93.9,17.83,10.1,165.1,79.8909751665657,22.61,7.264,3.232,20.5
S268,125,103.4,20.03,7.1,139.1,89.647735442128,25.39,7.659,3.367,19.25
S269,106,98.7,20.88,9.5,191.8,89.051094890511,21.89,6.793,3.3,30.25
S270,119,100.4,17.48,8.1,146.4,92.5546448087432,27.3,7.616,3.372,20
S271,109,98.2,19.97,5.4,125.4,94.1786283891547,24.88,7.225,3.221,22.5
S272,107,102.6,20.79,7.5,113.5,94.5374449339207,25.86,7.661,3.027,19.75
S273,114,114.8,24.39,6.7,121.1,94.8802642444261,24.73,9.208,2.615,21.5
S274,115,96,17.89,6.5,121.4,93.0807248764415,22.1,7.404,3.169,24.25
S275,121,90.3,15.48,9.4,121.8,98.2758620689655,23.79,7.044,3.391,19.75
S276,121,90.5,20.21,6.3,147.8,95.466847090663,24.23,7.573,2.95,21.25
S277,105,84.5,15.27,8,154.6,92.4320827943079,23.98,7.272,2.906,23.5
S278,107,90.8,18.74,8.5,182.4,91.2828947368421,23.15,6.63,3.227,24.25
S279,107,92.3,16.51,12.3,159.8,84.918648310388,20.97,6.408,3.189,25.5
S280,121,100.1,16.89,7.5,115.2,94.3576388888889,25.06,7.455,3.18,26.25
S281,123,100.1,16.61,5.7,96.9,93.8080495356037,24.85,7.494,3.162,21.5
S282,118,93.4,17.05,7.3,107.9,95.1807228915663,21.16,7.445,3.3,19.5
S283,121,91.5,16.15,8.2,116.6,99.9142367066895,35.21,7.572,3.346,22.25
S284,107,91.7,16.48,5.5,125.7,87.3508353221957,28.26,7.875,3.237,22.75
S285,114,96.4,17.62,7.7,101.4,96.0552268244576,23.65,7.532,3.063,20.25
S286,111,91.7,17.42,6.2,101.9,89.3032384690873,23.71,7.277,3.222,25.25
S287,109,88.8,15.48,6.6,164.6,91.6160388821385,25.71,7.597,3.139,17.25
S288,110,87.7,18.27,6.9,99.6,95.281124497992,23.24,7.221,3.313,21.25
S289,105,92.3,20.34,10.5,158.3,79.0903348073279,24,6.871,3.409,28.75
S290,109,93.5,16.68,6.7,105.2,92.680608365019,24.39,7.772,3.122,25
S291,108,95.9,17.85,8.7,138.2,92.0405209840811,24.36,7.959,3.249,26.25
S292,113,94.2,17.69,6.9,97.6,93.0327868852459,22.32,7.362,2.992,22.25
S293,113,94.4,17.81,8.1,105.6,91.0037878787879,23.94,7.299,3.166,23
S294,117,100,18.35,7.7,130.7,90.3596021423106,23.46,7.709,3.12,22.5
S295,113,101.5,17.63,7.9,111,88.2882882882883,23.87,7.561,3.043,21
S296,112,103.6,18.4,8,121.4,96.5403624382208,24.4,7.525,3.293,27.75
S297,113,103.9,17.84,8.3,89.1,91.4702581369248,24.13,7.521,3.196,26
S298,117,98.5,16.45,8.1,90.4,87.1681415929203,20.99,7.847,3.155,24.5
S299,114,85.4,17.84,9.7,149.4,88.7550200803213,24.86,7.671,3.301,25.25
S300,105,96.1,17.62,10.3,150.8,78.7135278514589,25.73,6.819,3.313,29.25
S301,124,103.9,17.0222222222222,10.1,115.1,91.0512597741095,23.58,7.019,3.16,27
S302,111,97.5,18.1,7.4,105.1,85.1569933396765,21.68,7.393,3.157,23
S303,110,95.1,17.97,5.3,105.2,93.1558935361217,22.82,7.707,2.931,22
S304,108,91.4,18.28,7.9,133.6,86.2275449101796,25.92,7.824,3.241,24.25
S305,114,92.3,16.6,7.1,91.7,89.0948745910578,21.76,7.303,3.116,21.75
S306,108,95.8,17.4,5.9,93.5,91.1229946524064,26.35,7.867,3.309,17.5
S307,115,90.3,17.8111111111111,8,116.7,91.0025706940874,20.52,7.545,3.046,21.25
S308,117,94.1,17.99,8.2,103.4,87.5241779497099,24.59,7.593,3.095,19.75
S309,114,91.2,17.71,7.2,92.1,95.4397394136808,22.2,7.387,3.076,21.5
S310,115,97.1,17.71,6.6,75.5,93.3774834437086,24.42,7.453,3.206,19.25
S311,105,91.7,18.06,10.5,156.7,81.8761965539247,24.4,6.9,3.37,32.75
S312,114,92.2,17.66,7.4,104,91.5384615384615,22.03,7.599,3.1,19
S313,114,91.8,18.26,6.9,111,88.5585585585586,21.94,7.674,3.021,19.5
S314,109,91.3,18.67,7.7,128.7,94.7940947940948,26.54,8.049,3.436,18.5
S315,112,95.2,19.17,6,78.9,89.4803548795944,26.64,7.82,3.415,24
S316,119,99.9,18.4555555555556,5.6,128.7,94.2501942501943,26.02,7.462,3.227,18
S317,118,94.4,18.48,5.5,113.4,94.0035273368607,27.56,7.401,3.216,18.5
S318,116,90.7,17.7,6.7,132,96.1363636363636,21.19,7.37,3.085,19.5
S319,116,87.5,18.03,6.9,89.4,94.0715883668904,26.25,7.467,3.019,20.5
S320,116,92.7,16.98,6.5,184.4,89.587852494577,22.59,7.6,3.055,21.75
S321,115,91.2,17.83,7.1,109.7,72.926162260711,21.92,7.435,3.018,21
S322,105,88.7,16.42,10.9,168.1,80.0118976799524,21.46,6.407,3.133,26.25
S323,96,98.3,20.27,12.7,146.6,56.343792633015,29.01,9.357,2.72,24.5
S324,114,91.8,19.15,7.2,118.7,93.7657961246841,22.59,8.261,3.219,24.75
S325,111,87.5,16.93,6.2,131.3,94.3640517897944,27.67,8.442,3.012,16.25
S326,108,82.1,16.58,10.7,88.4,82.3529411764706,24.87,8.416,2.996,23.75
S327,104,94.4,19.64,9.1,196.2,65.5453618756371,21.43,6.552,3.204,25.5
S328,109,81.6,16.9,8.8,123.8,90.7915993537964,27.07,7.512,3.506,25
S329,115,86.7,15.72,12,85.2,85.7981220657277,22.56,7.135,3.252,24.75
S330,123,96.1,21.48,9.7,153.7,94.9902407286923,29.54,9.235,3.031,19.75
S331,118,100.2,21.56,7.8,136.2,93.8325991189427,29.91,9.124,2.911,17.75
S332,109,101.6,17.03,8.8,186.7,87.6272094268881,18.73,6.415,3.273,24.5
S333,125,88.3,18.17,6.6,115.5,92.987012987013,19.84,7.285,3.182,18
S334,105,92.4,16.18,10.2,146.3,72.6589200273411,23.75,7.021,3.332,25.75
S335,119,79.7,15.4555555555556,10.8,172.8,92.3032407407407,24.58,7.157,3.407,23.5
S336,112,71.1,15,8.8,107.8,80.9833024118738,26.6,7.423,3.456,26.75
S337,107,119.1,21.73,9.7,196.4,40.3258655804481,19.64,6.45,3.147,24.5
S338,114,82.9,16.25,11,76,98.4210526315789,20.75,7.305,3.056,25.75
S339,116,82.7,17.32,9.1,101.6,88.8779527559055,24.4,7.283,3.258,21.25
S340,111,94,19.19,5.7,92.4,87.2294372294372,24.32,7.578,3.143,25.75
S341,106,118.15,21.2,11.7,167.9,33.0553901131626,20.15,6.599,3.211,25.75
S342,120,85.5,18.21,8.5,175,88.3428571428571,23.22,7.57,3.295,23.5
S343,123,84.6,17.93,7.4,95.2,93.9075630252101,23.62,7.213,3.077,21.25
S344,119,90.4,17.39,6.3,83.7,97.2520908004779,22.08,7.694,3.334,19
S345,102,93.45,18.22,10.1,151.1,30.9066843150232,25.33,6.933,3.424,33.75
S346,102,96.9,18.9,12.5,169.3,35.4400472533963,26.07,6.829,3.417,31
S347,107,107,23.1,7.4,200,33.85,22.3,6.936,3.296,32.25
S348,108,74.3,14.85,8,124.7,91.4194065757819,25.45,6.827,3.487,22.75
S349,98,105.45,21.27,8.7,131.8,74.1274658573596,32.07,9.537,3.166,22
S350,86,86.95,17.4,7,160.1,70.2061211742661,25.86,7.187,3.215,18.25
S351,103,105.5,14.55,10.3,178.7,51.0912143256855,20.13,7.455,2.762,24.75
S352,104,114.1,20.87,10.3,122.5,66.530612244898,25.5,8.646,2.846,24.75
S353,123,89.1,18.55,6.1,169.5,91.3864306784661,27.22,7.085,3.665,17.25
S354,104,105.8,20.94,8.4,155.6,56.426735218509,28.84,9.171,2.961,26
S355,113,100.1,21.12,10.6,124.2,92.0289855072464,27.55,8.613,3.419,23.75
S356,93,76.4,12.18,10.6,128.2,93.4477379095164,27.14,6.789,3.397,16.75
S357,94,73.4,12.98,10.9,103.1,95.8292919495635,27.44,6.907,3.411,18.25
S358,93,79.1,13.35,11.4,168.5,92.759643916914,27.02,6.979,3.357,15.25
S359,92,72.8,13.28,8.6,186.9,94.5960406634564,28.15,6.866,3.421,16.25
S360,93,75.1,13.83,14,121.6,94.3256578947368,27.52,7.101,3.413,15.75
S361,84,82.4,20.79,9.3,85.9,91.7345750873108,28.04,8.318,3.32,16.5
S362,97,79.8,16.92,16.2,119.2,89.1778523489933,27.5,7.061,3.514,13.25
S363,129,,,,,,,,,
S364,97,98.3,19.08,9.8,149.9,84.4563042028019,25.71,6.936,3.443,26.5
S365,122,86.2,21.92,9.7,129.3,84.2227378190255,20.93,8.947,2.441,26.75
S366,115,103.5,25.13,10,128.9,72.7695888285493,25.91,11.467,2.268,27
S367,129,,,,,,,,,
S368,130,,,,,,,,,
S369,105,102.2,19.88,9.9,199.3,59.2574009031611,21.17,7.112,3.3,28
S370,128,94.9,17.39,13,130.7,83.6266258607498,20.28,7.026,3.153,19.75
S371,117,114.4,23.55,6.1,102.1,96.4740450538688,21.17,9.428,2.186,23.75
S372,86,76.9,16.03,14.5,139.4,97.4892395982783,25.5,6.821,3.183,15.5
S373,92,87.4,15.58,8.9,121.1,93.1461601981833,27.57,6.605,3.47,19.5
S374,106,95.7,20.38,10.7,183.6,74.1285403050109,20.09,6.78,3.16,29.75
S375,115,97.8,16.9,10.3,88.5,98.7570621468927,23.05,7.084,3.293,26
S376,116,95.8,19.15,8.3,80.8,98.3910891089109,23.62,7.529,3.391,22.25
S377,103,94.1,18.28,9.2,141.6,87.7824858757062,24.62,6.929,3.358,25.25
S378,117,92.9,18.88,7.9,88.9,82.6771653543307,24.17,7.492,3.192,22
S379,117,94.7,18.97,10.6,58.9,98.30220713,23.76,7.498,3.277,25.75
S380,98,94.8,20.84,7,190.9,90.2042954426401,24.16,6.746,3.382,26
S381,97,89.95,17.88,9.1,153.5,91.4006514657981,24.34,6.818,3.392,27.25
S382,116,96.2,16.62,11.7,58.9,93.7181663837012,21.97,7.209,3.232,22.5
S383,98,91.3,18.11,10.7,143.5,88.2926829268293,24.6,6.912,3.339,30.5
S384,96,98.2,20.3,11.4,182.7,74.6031746031746,24.05,6.72,3.277,33.5
S385,95,100.6,19.44,11.1,143.8,70.4450625869263,26.7,8.016,2.92,28.5
S386,98,102.1,19.93,9.2,178.2,90.0673400673401,24.54,6.569,3.356,30.75
S387,114,90,16.26,8.3,118.4,96.1148648648649,26.52,7.622,3.489,28.75
S388,98,98.4,19.84,13.5,187.6,65.9914712153518,21.91,6.61,3.246,33.25
S389,104,120.4,23.55,9.8,168.6,64.1162514827995,20.04,7.358,2.803,29.5
S390,105,112,24.06,8.4,194.1,52.344152498712,22.22,6.713,3.173,33.25
S391,103,106.1,23.58,10.4,228.7,47.6606908613905,22.76,6.635,3.301,28
S392,107,107.5,22.33,8.1,205.5,34.4038929440389,21.61,6.844,3.283,31.5
S393,107,96,18.17,9.1,86.5,91.9075144508671,23.66,6.479,3.284,25.5
S394,127,87.3,14.67,9.3,106.4,93.515037593985,21.82,6.485,3.235,17
S395,102,96.45,20.25,12.2,212.6,60.9595484477893,18.77,6.217,3.164,26.75
S396,109,103.1,19.78,15.8,88.5,96.045197740113,27.36,7.08,3.437,35.5
S397,107,106.6,21.9,11.3,84.5,93.491124260355,27.55,8.961,2.879,28.5
S398,108,94,18.89,15.1,76.3,93.9711664482307,27.83,7.229,3.41,20.5
S399,98,95.1,16.33,9.6,206.4,80.4748062015504,22.93,7.247,3.045,29
S400,116,98.3,24.03,12.8,100.6,92.0477137176938,27.13,9.386,2.666,16
S401,114,95.9,21.06,12.4,112.8,93.5283687943262,25.89,7.15,3.56,24.25
S402,108,87.4,17.28,13.1,76.7,92.4380704041721,28.52,7.562,3.616,42.25
S403,110,108,18.9625,19.1428571428571,61.5,97.2357723577236,34.85,7.92,3.871,9.75
S404,99,93.9,21.3,13.8,98,85.3061224489796,32.76,8.462,3.677,9.75
S405,112,98,19.66,9.5,102,93.8235294117647,29.13,7.73,3.426,19.75
S406,118,117.9,24.62,10.4,69.7,82.6398852223816,30.22,7.504,3.494,18
S407,117,106.1,25.25,10.8,99,94.040404040404,32.22,8.897,3.664,23.5
S408,115,114.333333333333,29.1,15.8333333333333,94.6,85.7293868921776,30.57,7.875,3.805,9.75
S409,101,108.7,19.96,10.3,218.2,79.2850595783685,20.23,6.631,3.236,33.75
S410,106,106.95,19.81,15.3,180.7,71.2783619258439,19.94,6.475,3.251,33
S411,91,87.1,14.5,11.6,111.2,92.7158273381295,27.23,6.982,3.381,23.25
S412,97,96.7,20.39,12.2,170.9,86.1907548273844,22.39,6.833,3.256,32.75
S413,103,105.9,20.37,10.6,203.2,67.2244094488189,21.96,6.533,3.297,26.25
S414,126,113.1,25.1777777777778,9.7,114.3,98.4251968503937,28.19,7.628,3.885,18
S415,105,109.7,19.8,7.7,218.8,61.654478976234,24.33,7.015,3.388,32.75
S416,125,,,,,,,,,
S417,127,106.2,21.03,8.6,71,98.169014084507,20.77,7.274,3.7,
S418,122,115,22.37,9,53.2,93.984962406015,23.47,7.024,3.69,20.25
S419,122,109.166666666667,24.65,16,66.5,96.5413533834587,24.84,7.641,4.021,5.75
S420,124,132.6,22.57,7.3,65.5,95.1145038167939,25.88,7.927,3.481,27.5
S421,98,104.05,22.06,8.7,189.9,82.9910479199579,22.61,6.872,3.279,28.75
S422,126,105,29.1333333333333,11.6666666666667,61.6,96.4285714285714,30.68,8.507,3.431,2
S423,125,114.4,23.72,9.1,60.6,92.5742574257426,23.54,7.33,3.857,21
S424,116,,,,,,,,,
S425,126,112.6,23.8222222222222,8.8,84.1,96.4328180737218,23.14,7.144,3.476,30.5
S426,123,106,21.6222222222222,8.5,57.6,96.1805555555555,27.21,7.872,3.513,22.25
S427,124,115.2,24.25,12.3,108.9,92.4701561065197,25.79,7.422,3.462,15
S428,118,101.8,20.75,8.1,77.2,93.2642487046632,23.83,8.164,3.381,18
S429,103,100.85,18.17,9.5,181.3,90.1820187534473,19.8,6.881,2.946,23.75
S430,128,107.2,19.38,9.6,102.2,95.5968688845401,19.72,7.442,3.407,15.75
S431,129,106.6,19.85,8.3,113.7,97.7132805628848,18.21,7.39,3.385,17.5
S432,129,104.6,21.05,8.5,70.9,99.4358251057828,21.78,7.716,3.493,15.25
S433,125,113.7,22.18,9.2,75.6,95.1058201058201,23.44,7.848,3.421,20.5
S434,116,103.6,21.3,9.6,80.9,94.8084054388133,22.44,7.719,3.407,19.75
S435,125,112.1,22.45,9.6,102.9,97.0845481049563,21.61,7.486,3.374,22
S436,124,105,20.94,9,95.6,91.6317991631799,23.82,7.538,3.34,19.75
S437,125,112.5,21.73,9.2,101.6,94.5866141732283,22.66,7.715,3.335,22
S438,126,99.4,19.21,8.4,92.6,94.060475161987,18.66,7.297,3.271,18.25
S439,98,96,20.46,10.2,180.2,84.6836847946726,23.97,6.755,3.368,27.25
S440,128,,,,,,,,,
S441,125,108.3,20.95,9.6,81.6,92.6470588235294,22.91,7.724,3.39,19.5
S442,105,103.7,21.35,10,226.9,49.9338915821948,23.15,7.127,3.255,36.5
S443,106,104,17.53,11.4,188.2,47.5557917109458,23.46,7.79,3.144,31
S444,99,101.4,19.37,12.9,189.2,68.0761099365751,22,6.62,3.28,34
S445,104,107.2,21.74,7.8,219.3,57.8659370725034,23.43,6.892,3.45,33.25
S446,99,87.2,17.62,13.7,127.9,60.7505863956216,24.09,8.131,2.74,23.75
S447,107,108.5,21.39,11.5,180.2,65.8712541620422,21.27,6.829,3.334,29
S448,102,102.4,19.95,13.4,155,76.7096774193548,23.75,7.242,3.219,32.5
S449,102,100.6,18.02,14.3,153.6,69.4010416666667,21.89,6.724,3.272,30
S450,99,94.9,15.85,12.7,155.9,89.9935856318153,20.76,6.635,3.266,23.5
S451,100,103.9,20.5,11.3,189,79.7354497354497,21.39,6.458,3.304,29.5
S452,99,106.3,18.93,11.7,157.4,82.3379923761118,21.65,6.648,3.222,26.25
S453,102,113.4,20.48,11.6,153.1,85.4996734160679,24.54,6.863,3.33,28.25
S454,104,97,17.36,11.1,182.7,70.6075533661741,23.2,7.394,3.112,24.5
S455,121,86.2,16.83,13.8,109.1,89.2758936755271,23.64,7.246,3.094,13.25
S456,105,109.9,19.87,10.6,203.4,68.7807276302852,18.99,6.538,3.175,31
S457,104,106.3,19.17,14.9,140.3,83.2501781895937,23.62,7.297,3.191,28.75
S458,94,90.2,15.94,11.4,117.4,70.6132879045997,29.07,7.308,3.343,24
S459,103,107.9,20.27,11.7,179.9,78.7103946637021,23.97,7.155,3.354,28.5
S460,96,100.3,18.42,9.6,170.4,87.7934272300469,23.15,6.814,3.239,31.75
S461,127,96.2,23.37,7.5,107.9,93.0491195551437,23.8,8.44,2.685,6.5
S462,100,94.9,17.72,11.9,127.8,93.5837245696401,23.5,6.455,3.461,22
S463,117,98.2,23.83,,156.5,93.5463258785942,26.67,9.201,2.9,26.5
S464,123,98.1,23.15,,54.3,87.8453038674033,22.54,8.34,2.691,24
S465,104,108.1,20.34,10.4,150.8,86.8700265251989,22.59,6.663,3.265,20.75
S466,129,,,,,,,,,
S467,105,103.9,19.1,10.3,186.1,69.156367544331,20.55,6.762,3.244,26
S468,125,85.7,21.58,11.1,123.3,89.6999188969992,25.16,8.91,2.734,21.5
S469,105,98.9,17.93,9.4,152.5,85.1803278688525,21.37,6.363,3.391,23.5
S470,106,104.8,19.99,12.9,127.2,88.4433962264151,21.11,7.203,3.032,22.5
S471,102,100.5,18.02,12.7,134,96.9402985074627,23.68,6.575,3.408,23.75
S472,102,94.1,18.49,8.1,98,86.0204081632653,26.35,8.766,2.722,26.25
S473,99,78.3,18.12,9.2,84.1,86.9203329369798,29.85,9.306,2.939,24
S474,100,75.8,19.52,8.9,101.7,80.7276302851524,33.62,9.404,3.23,15
S475,104,106.6,18.2,11.4,158.9,89.8678414096916,21.97,6.61,3.301,24.75
S476,127,97.8,20.5,9,82.4,95.0242718446602,21.07,7.378,3.309,15.75
S477,123,88.6,20.06,9.1,139.6,83.3094555873926,26.78,7.219,3.474,23
S478,126,101.4,21.59,9.3,95.3,92.6547743966422,21.43,7.415,3.284,21.5
S479,126,103.1,21.85,8.5,85.5,91.4619883040936,22.57,7.327,3.328,20.75
S480,124,111.1,19.09,8.3,91.9,91.4036996735582,29.18,7.605,3.42,23.5
S481,105,101.8,18.41,11.7,149.7,89.7795591182365,22.13,6.524,3.389,21.25
S482,87,89.1,16.3,11.1,133.3,86.8717179294824,24.03,7.16,3.396,24
S483,126,116.6,20.5,10.3,168.8,93.7203791469194,28.66,7.439,3.594,21.25
S484,127,118.7,23.5,7.6,186.1,91.671144545943,31.34,8.556,3.264,17.75
S485,124,152.4,30.34,5.7,54.5,88.0733944954128,32.69,7.863,3.521,19.25
S486,120,128.3,23.19,8.4,150.9,92.909211398277,24.04,7.266,3.296,19.5
S487,123,115.3,21.4,9.4,158.1,93.6116382036686,28.36,7.188,3.54,20.5
S488,116,134.7,18.53,11.4,201,92.8855721393035,22.46,7.319,3.515,25.5
S489,121,111.9,20.31,9,125.4,88.3572567783094,24.86,7.342,3.529,22.25
S490,107,108.3,18.72,11.2,112.4,78.55871886,19.4,6.535,3.035,21.25
S491,120,111.7,22.23,8.9,125.3,92.8970470869912,19.6,7.669,3.403,24
S492,126,116,19.52,10.9,180.9,92.7584300718629,25.71,8.255,3.469,25
S493,128,113.9,22.3,9.2,154.3,92.7414128321452,17.7,7.319,3.244,19.25
S494,106,97.6,17.75,10.4,131.2,90.625,21.56,6.519,3.242,22.5
S495,123,119.2,18.98,10.2,117.4,88.5008517887564,26.65,7.064,3.579,25.25
S496,122,109.3,22.55,9.8,132.7,96.7596081386586,22.67,7.379,3.099,22.25
S497,127,118.1,19.43,9.4,151.2,94.1137566137566,20.58,7.648,3.369,21.75
S498,128,112.3,21.93,12.3,143.9,95.0660180681029,19.18,7.402,3.25,17
S499,125,114.1,22.02,9.8,102,76.8627450980392,21.08,7.343,3.235,21.5
S500,120,110.2,21.99,9.6,137.5,94.4,27.64,7.539,3.632,28.75
